epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1392.75,1.25885,2.24269,1.06953,1.28608,0.72807,0.61426,0.69514,0.43477,0.72406,0.601,0.6777,0.35933,1.25367,2.12655,1.00041,1.2494,0.0009043,0.0009043,0.0009043
31,1436.87,1.24551,2.21656,1.06304,1.28314,0.74005,0.62587,0.704,0.4409,0.75182,0.60284,0.68415,0.36236,1.26533,2.12865,0.99098,1.25622,0.000901,0.000901,0.000901
32,1481.68,1.24887,2.23317,1.06982,1.28772,0.75938,0.63682,0.71554,0.43587,0.75592,0.62044,0.69142,0.35708,1.28477,2.14246,0.98409,1.25287,0.0008977,0.0008977,0.0008977
33,1527.39,1.25921,2.22106,1.05699,1.28009,0.74659,0.64146,0.71624,0.45325,0.76314,0.62388,0.70643,0.37339,1.24056,2.12297,0.94441,1.24696,0.0008944,0.0008944,0.0008944
34,1573.08,1.24433,2.21165,1.0564,1.27975,0.76928,0.64252,0.72498,0.44829,0.76748,0.6272,0.70536,0.36463,1.25589,2.11561,0.94207,1.24154,0.0008911,0.0008911,0.0008911
35,1617.79,1.24346,2.21966,1.05609,1.28127,0.76752,0.64824,0.728,0.44743,0.75829,0.63284,0.70311,0.36526,1.27201,2.11822,0.92986,1.24095,0.0008878,0.0008878,0.0008878
36,1662.13,1.24462,2.20427,1.05182,1.28055,0.75189,0.65234,0.71925,0.44587,0.7479,0.63217,0.69782,0.36426,1.26257,2.10386,0.93261,1.24929,0.0008845,0.0008845,0.0008845
37,1708.18,1.24606,2.20389,1.05667,1.27822,0.77441,0.64103,0.72431,0.44791,0.7749,0.62912,0.70588,0.36727,1.26059,2.0984,0.9311,1.25136,0.0008812,0.0008812,0.0008812
38,1753.59,1.2342,2.18679,1.03693,1.27728,0.77777,0.65174,0.73062,0.45606,0.77168,0.64312,0.71186,0.37224,1.27229,2.08988,0.92137,1.2477,0.0008779,0.0008779,0.0008779
39,1799.29,1.24051,2.20013,1.04195,1.27522,0.76979,0.63781,0.72458,0.45012,0.77198,0.63333,0.71344,0.37509,1.25365,2.09598,0.92254,1.24217,0.0008746,0.0008746,0.0008746
40,1843.02,1.2353,2.18814,1.03654,1.27411,0.75563,0.66866,0.73229,0.45719,0.76339,0.64743,0.71618,0.37557,1.24794,2.07546,0.90146,1.23219,0.0008713,0.0008713,0.0008713
41,1888.42,1.23303,2.18629,1.0304,1.26906,0.78704,0.62636,0.72834,0.45374,0.77777,0.61227,0.70269,0.3688,1.25035,2.10528,0.92099,1.22995,0.000868,0.000868,0.000868
42,1933.1,1.2229,2.18684,1.03156,1.2717,0.77686,0.63814,0.72885,0.45884,0.77654,0.62289,0.70592,0.37115,1.23052,2.08952,0.90563,1.22023,0.0008647,0.0008647,0.0008647
43,1978.68,1.22808,2.18365,1.02218,1.26986,0.75645,0.66135,0.73101,0.46111,0.75855,0.64677,0.71426,0.37784,1.23494,2.06534,0.89249,1.2228,0.0008614,0.0008614,0.0008614
44,2024.19,1.21498,2.16735,1.0139,1.25961,0.77328,0.65307,0.73214,0.45365,0.77192,0.63847,0.71174,0.36806,1.2499,2.08809,0.90307,1.22991,0.0008581,0.0008581,0.0008581
45,2062.51,1.21517,2.16981,1.02008,1.26968,0.77246,0.65981,0.73642,0.46003,0.76757,0.64404,0.7132,0.37358,1.23294,2.06969,0.89352,1.22384,0.0008548,0.0008548,0.0008548
46,2105.77,1.22415,2.17762,1.02541,1.26519,0.76967,0.65503,0.73353,0.45681,0.7687,0.63821,0.71083,0.37221,1.2521,2.07392,0.90091,1.23422,0.0008515,0.0008515,0.0008515
47,2151.94,1.21467,2.17514,1.01471,1.26377,0.76248,0.66136,0.73592,0.46375,0.76905,0.63781,0.71687,0.37877,1.24627,2.08273,0.88482,1.22534,0.0008482,0.0008482,0.0008482
48,2196.92,1.21725,2.1684,1.02047,1.26401,0.78134,0.64709,0.73463,0.46178,0.77373,0.64079,0.71411,0.37363,1.24098,2.1066,0.88682,1.22253,0.0008449,0.0008449,0.0008449
49,2241.15,1.21641,2.17129,1.02005,1.26225,0.78133,0.65804,0.73697,0.46232,0.77861,0.64156,0.71719,0.3746,1.24675,2.07365,0.88679,1.22443,0.0008416,0.0008416,0.0008416
50,2285.19,1.21701,2.15709,1.00857,1.25941,0.78515,0.65572,0.73881,0.46441,0.78021,0.64179,0.71913,0.37984,1.2401,2.0587,0.87506,1.2194,0.0008383,0.0008383,0.0008383
51,2330.8,1.20643,2.1548,1.01396,1.26185,0.78102,0.65804,0.73773,0.46369,0.77402,0.64378,0.71761,0.37902,1.23902,2.07588,0.88121,1.22237,0.000835,0.000835,0.000835
52,2375.36,1.20939,2.14467,1.00527,1.25634,0.77753,0.66202,0.73606,0.4646,0.77346,0.64909,0.71611,0.37853,1.23159,2.06407,0.87661,1.21635,0.0008317,0.0008317,0.0008317
53,2420.33,1.21561,2.17117,1.00799,1.25799,0.76902,0.66478,0.73656,0.46479,0.77182,0.64013,0.71577,0.37998,1.23659,2.06192,0.8722,1.2152,0.0008284,0.0008284,0.0008284
54,2465.53,1.20942,2.15285,1.00389,1.25786,0.7871,0.64942,0.73533,0.46835,0.78271,0.64113,0.72058,0.38232,1.22451,2.06534,0.87242,1.2119,0.0008251,0.0008251,0.0008251
55,2510.29,1.21314,2.15947,1.0073,1.25993,0.78114,0.65605,0.73381,0.46769,0.77977,0.64013,0.71763,0.38152,1.22337,2.05672,0.87697,1.21414,0.0008218,0.0008218,0.0008218
56,2554.3,1.19591,2.14311,0.99375,1.24754,0.7655,0.66501,0.73675,0.46401,0.77984,0.63781,0.71538,0.37657,1.23509,2.0817,0.87474,1.21792,0.0008185,0.0008185,0.0008185
57,2599.05,1.19233,2.1399,0.98773,1.24951,0.78963,0.64365,0.73465,0.46871,0.7958,0.63383,0.72115,0.3815,1.21778,2.06912,0.87276,1.20836,0.0008152,0.0008152,0.0008152
58,2643.31,1.20031,2.14085,0.98355,1.24706,0.78366,0.65141,0.73568,0.46746,0.78722,0.6398,0.71539,0.37864,1.2276,2.0602,0.88175,1.21305,0.0008119,0.0008119,0.0008119
59,2687.1,1.19602,2.14658,0.9877,1.24883,0.78358,0.64942,0.73511,0.46709,0.78914,0.63516,0.71699,0.37926,1.22561,2.05578,0.87775,1.2134,0.0008086,0.0008086,0.0008086
60,2731.88,1.18803,2.13747,0.98377,1.24572,0.78406,0.6597,0.73845,0.47011,0.78035,0.6471,0.71886,0.3806,1.2199,2.04887,0.87249,1.20853,0.0008053,0.0008053,0.0008053
61,2775.9,1.19762,2.13113,0.98618,1.25057,0.77605,0.66661,0.73874,0.4703,0.7796,0.64876,0.7184,0.38105,1.22198,2.05541,0.87081,1.21303,0.000802,0.000802,0.000802
62,2818.58,1.19392,2.1272,0.98074,1.24685,0.79039,0.65909,0.74057,0.46932,0.78527,0.64649,0.72066,0.38041,1.22304,2.05161,0.86161,1.21411,0.0007987,0.0007987,0.0007987
63,2861.79,1.19415,2.12661,0.98321,1.24491,0.78368,0.65705,0.73797,0.46774,0.78124,0.64198,0.7192,0.38127,1.2225,2.04811,0.86924,1.21128,0.0007954,0.0007954,0.0007954
64,2906.49,1.19494,2.12605,0.98346,1.24243,0.7769,0.66412,0.73752,0.46862,0.78022,0.65041,0.72259,0.38179,1.21441,2.04069,0.86653,1.20679,0.0007921,0.0007921,0.0007921
