epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1433.74,2.59063,2.75942,2.42425,1.24604,0.32667,0.30341,0.29013,0.12709,0.40857,0.29102,0.32381,0.11171,2.63499,2.61356,1.86711,1.22932,0.0014258,0.0014258,0.0014258
31,1521.49,2.70582,2.98272,2.41318,1.26496,0.37,0.34365,0.33272,0.14851,0.37979,0.31579,0.32349,0.12434,2.47063,2.37485,1.82661,1.1696,0.001406,0.001406,0.001406
32,1621.77,2.60394,2.8368,2.33746,1.22853,0.37,0.34365,0.33272,0.14851,0.37979,0.31579,0.32349,0.12434,2.47063,2.37485,1.82661,1.1696,0.0013862,0.0013862,0.0013862
33,1693.99,2.64241,2.84273,2.34934,1.23804,0.37,0.34365,0.33272,0.14851,0.37979,0.31579,0.32349,0.12434,2.47063,2.37485,1.82661,1.1696,0.0013664,0.0013664,0.0013664
34,1779.07,2.62624,2.79967,2.24259,1.22679,0.37,0.34365,0.32926,0.14122,0.36333,0.33746,0.33085,0.12554,2.54794,2.39681,1.81616,1.19052,0.0013466,0.0013466,0.0013466
35,1859.84,2.68655,2.84722,2.27556,1.23909,0.37,0.34365,0.32926,0.14122,0.36333,0.33746,0.33085,0.12554,2.54794,2.39681,1.81616,1.19052,0.0013268,0.0013268,0.0013268
36,1960.79,2.512,2.59923,2.20952,1.23153,0.37,0.34365,0.32926,0.14122,0.36333,0.33746,0.33085,0.12554,2.54794,2.39681,1.81616,1.19052,0.001307,0.001307,0.001307
37,2062.77,2.64202,2.78572,2.19299,1.21792,0.39333,0.36533,0.35738,0.16012,0.36333,0.33746,0.3407,0.12532,2.48547,2.34346,1.77357,1.16029,0.0012872,0.0012872,0.0012872
38,2163.29,2.54108,2.64302,2.0917,1.18644,0.39333,0.36533,0.35738,0.16012,0.36333,0.33746,0.3407,0.12532,2.48547,2.34346,1.77357,1.16029,0.0012674,0.0012674,0.0012674
39,2289.35,2.58995,2.77533,2.18634,1.22067,0.39333,0.36533,0.35738,0.16012,0.36333,0.33746,0.3407,0.12532,2.48547,2.34346,1.77357,1.16029,0.0012476,0.0012476,0.0012476
